"Bat ID","Last 4 digits","Site","Sampling Date","Luminex Date","Species","Age","Sex","Repro Status","Weight (g)","Forearm (mm)","EBOV","MARV","logEBOV","logMARV","logEBOVrs","logMARVrs"
"A086",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,27.75,9,3.32323584019244,2.19722457733622,0.0519393031604659,0.0278447866522771
"A087",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum",NA,NA,"NRS",NA,NA,22.25,8,3.10234200861225,2.07944154167984,0.01405074090291,0.00591202755148053
"A088",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,23.75,9,3.16758253048065,2.19722457733622,0.0252410469284043,0.0278447866522771
"A090",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,22.25,8.25,3.10234200861225,2.11021320034659,0.01405074090291,0.0116421173976855
"A091",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,22.75,7.75,3.12456514539696,2.04769284336526,0.0178625390667713,0
"A092",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,30,14.75,3.40119738166216,2.69124308278583,0.0653115675489254,0.119837566520611
"A093",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","UNK","UNK","NRS",NA,NA,30.25,9.25,3.40949618447685,2.22462355152433,0.0667350102266066,0.0329468380396263
"A097",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,111.5,8.5,4.71402459090017,2.14006616349627,0.290492755700708,0.0172011339874522
"A098",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,20,8.25,2.99573227355399,2.11021320034659,-0.00423537218191787,0.0116421173976855
"A102",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,21.5,10.5,3.06805293513362,2.35137525716348,0.00816934672383622,0.0565496821156504
"A105",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,37.5,14.25,3.62434093297637,2.65675690671466,0.103586010415254,0.113415784403505
"A106",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,24.5,13.5,3.19867311755068,2.60268968544438,0.0305738243780959,0.103347752680924
"A110",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,960.75,14,6.86771422944495,2.63905732961526,0.659901911989586,0.1101198890435
"A111",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,96.25,13.75,4.56694897316789,2.62103882411258,0.265265778291903,0.106764604996488
"A112",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,17.5,5.25,2.86220088092947,1.65822807660353,-0.0271391918431545,-0.072523490840846
"A114",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,25.5,11,3.23867845216438,2.39789527279837,0.0374356937218543,0.0652123243255356
"A115",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,22.5,8,3.11351530921037,2.07944154167984,0.015967228530953,0.00591202755148053
"A119",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","M","NRS",NA,NA,25.5,11,3.23867845216438,2.39789527279837,0.0374356937218543,0.0652123243255356
"A121",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,29.5,10.75,3.38439026334577,2.37490575457367,0.062428745769137,0.060931371960403
"A123",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,15.5,10.5,2.7408400239252,2.35137525716348,-0.0479554742777647,0.0565496821156504
"A126",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,14.5,7.75,2.67414864942653,2.04769284336526,-0.0593946361441637,0
"A131",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","M","NRS",NA,NA,25.5,12,3.23867845216438,2.484906649788,0.0374356937218543,0.0814149935801271
"A132",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,22.25,7.25,3.10234200861225,1.98100146886658,0.01405074090291,-0.0124188160275278
"A135",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,21.5,8.5,3.06805293513362,2.14006616349627,0.00816934672383622,0.0172011339874522
"A141",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,33,9,3.49650756146648,2.19722457733622,0.0816595373200233,0.0278447866522771
"A143",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,31.25,12.25,3.44201937618241,2.50552593699074,0.0723135135507394,0.0852545775790239
"A144",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,33.75,9.5,3.51898041731854,2.2512917986065,0.0855141682617963,0.0379128183748586
"A145",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,81.25,14.5,4.39753082120985,2.67414864942653,0.236206523209481,0.116654356928969
"A147",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,33.5,12.25,3.51154543883102,2.50552593699074,0.0842388920655679,0.0852545775790239
"A148",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,22.5,12.5,3.11351530921037,2.52572864430826,0.015967228530953,0.0890165888933845
"A151",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,24.75,8,3.2088254890147,2.07944154167984,0.032315198302051,0.00591202755148053
"A152",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,25.75,13.5,3.24843462710975,2.60268968544438,0.0391091104903025,0.103347752680924
"A153",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum",NA,NA,"NRS",NA,NA,29.25,10,3.37587957367787,2.30258509299405,0.0609689594408789,0.0474643082224325
"A155",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","NRS",NA,NA,79.5,9,4.37575702166029,2.19722457733622,0.23247179710185,0.0278447866522771
"A160",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,22,8,3.09104245335832,2.07944154167984,0.0121125975891801,0.00591202755148053
"A163",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,37,8.25,3.61091791264422,2.11021320034659,0.101283642178438,0.0116421173976855
"A164",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,27.25,10.25,3.30505352110925,2.32727770558442,0.0488206016392779,0.0520623992844925
"A168",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","UNK","UNK","NRS",NA,NA,40.75,11,3.70745583968687,2.39789527279837,0.117842199892816,0.0652123243255356
